Nombre,Ciclo,Calificación,Propósito,Área
Redes de Computadoras,26-1,Pendiente,"Diseña las topologías lógica y física de una red de área local a partir de sus fundamentos, técnicas de transmisión de datos, capas de acceso a la red, Internet y transporte.",
Sistemas en Chip,26-2,Pendiente,"Desarrolla aplicaciones embebidas y de procesamiento digital de señales a partir de los diversos recursos periféricos de un sistema en chip, lenguaje ensamblador y un lenguaje de alto nivel. ",
Optativa A1,26-2,Pendiente,,
Optativa B1,26-2,Pendiente,,
Métodos Cuantitativos para la Toma de Decisiones,26-2,Pendiente,"Desarrolla planes de acción relacionados con el área de sistemas computacionales en cualquier giro de empresa, a partir de la optimización de los recursos, el uso de la metodología de métodos cuantitativos, criterios de sustentabilidad, e indicadores de toma de decisiones.",
Ingeniería de Software,26-2,Pendiente,Elabora un proyecto de software con base en una metodología de ingeniería de software. ,
Inteligencia Artificial,26-2,Pendiente,"Desarrolla sistemas inteligentes a partir de algoritmos de aprendizaje, modelos de representación de conocimiento y el aprendizaje de máquina.",
Aplicaciones para Comunicaciones en Red,26-2,Pendiente,"Desarrolla aplicaciones de red, con base en interfaces de programación y arquitectura de comunicaciones, con alto nivel de calidad y eficiencia.",
Desarrollo de Aplicaciones Móviles Nativas,27-1,Pendiente,"Desarrolla aplicaciones móviles nativas escalables, seguras y confiables con base en los componentes de la plataforma de desarrollo Android alimentada por fuentes de datos locales y remotos.",
Optativa A2,27-1,Pendiente,,
Optativa B2,27-1,Pendiente,,
Trabajo Terminal 1,27-1,Pendiente,Desarrolla la primera fase de un proyecto científico o tecnológico en cómputo viable y factible con base en metodologías y técnicas de desarrollo de sistemas.,
Sistemas Distribuidos,27-1,Pendiente,Diseña soluciones tecnológicas confiables y escalables con base en servicios basados en cómputo en la nube.,
Administración de Servicios en Red,27-1,Pendiente,"Implementa servicios de red de computadoras, con base en las mejores prácticas de administración y monitorización.",
Estancia Profesional,27-2,Pendiente,,
Desarrollo de Habilidades Sociales para la Alta Dirección,27-2,Pendiente,"Desarrolla habilidades personales, sociales y directivas en la integración de equipos directivos, con base en una visión estratégica de liderazgo y de toma de decisiones. ",
Trabajo Terminal 2,27-2,Pendiente,"Implementa un proyecto científico o tecnológico en cómputo, con base en técnicas y herramientas de desarrollo, y en la documentación sistemática.",
Gestión Empresarial,27-2,Pendiente,Gestiona organizaciones de innovación tecnológica con base en las competencias gerenciales.,Terminal y de Integración
Liderazgo Personal,27-2,Pendiente,"Evalúa el desarrollo personal en una organización, con base en los principios del liderazgo personal y social. ",
